HGNC ID	Approved symbol	Ensembl gene ID	Ensembl ID(supplied by Ensembl)	NCBI Gene ID(supplied by NCBI)
HGNC:50646	HAGLROS	ENSG00000226363	ENSG00000226363	102800310
HGNC:4806	HAL	ENSG00000084110	ENSG00000084110	3034
HGNC:15598	HAMP	ENSG00000105697	ENSG00000105697	57817
HGNC:4807	HAND1	ENSG00000113196	ENSG00000113196	9421
HGNC:4808	HAND2	ENSG00000164107	ENSG00000164107	9464
HGNC:48872	HAND2-AS1	ENSG00000237125	ENSG00000237125	79804
HGNC:4809	HAO1	ENSG00000101323	ENSG00000101323	54363
HGNC:4810	HAO2	ENSG00000116882	ENSG00000116882	51179
HGNC:41342	HAO2-IT1	ENSG00000230921	ENSG00000230921	100874270
HGNC:4811	HAO3			
HGNC:13314	HAOL			
HGNC:4812	HAP1	ENSG00000173805	ENSG00000173805	9001
HGNC:4813	HAP2			
HGNC:2380	HAPLN1	ENSG00000145681	ENSG00000145681	1404
HGNC:17410	HAPLN2	ENSG00000132702	ENSG00000132702	60484
HGNC:21446	HAPLN3	ENSG00000140511	ENSG00000140511	145864
HGNC:31357	HAPLN4	ENSG00000187664	ENSG00000187664	404037
HGNC:4815	HAPP			
HGNC:33117	HAR1A	ENSG00000225978	ENSG00000225978	768096
HGNC:33118	HAR1B	ENSG00000231133	ENSG00000231133	768097
HGNC:26522	HARBI1	ENSG00000180423	ENSG00000180423	283254
HGNC:4816	HARS1	ENSG00000170445	ENSG00000170445	3035
HGNC:4817	HARS2	ENSG00000112855	ENSG00000112855	23438
HGNC:4818	HAS1	ENSG00000105509	ENSG00000105509	3036
HGNC:4819	HAS2	ENSG00000170961	ENSG00000170961	3037
HGNC:34340	HAS2-AS1	ENSG00000248690	ENSG00000248690	594842
HGNC:4820	HAS3	ENSG00000103044	ENSG00000103044	3038
HGNC:19682	HASPIN	ENSG00000177602	ENSG00000177602	83903
HGNC:4821	HAT1	ENSG00000128708	ENSG00000128708	8520
